;feature;shap_value
1049;BIRC5;0.0
1547;MGAT4B;0.0
1546;PTPRC;0.0
1051;TRAJ33;0.0
1052;TRAJ53;0.0
1053;INPP5D;0.0
1054;PRR16;0.0
1541;NCOA1;0.0
1055;PCBP1;0.0
1540;GDNF;0.0
1539;MYB-AS1;0.0
1057;SLC47A2;0.0
1538;IGF2BP3;0.0
1059;PGBD3;0.0
1060;PTPN2;0.0
1061;ZNF750;0.0
1569;RXRA;0.0
1559;PHF8;0.0
1062;CALR;0.0
1063;NCSTN;0.0
1045;PAXIP1-AS2;0.0
1550;KTN1;0.0
1533;HIGD1AP9;0.0
1044;UROD;0.0
1557;CBX3P3;0.0
1556;ATXN2;0.0
1025;MMP2;0.0
1555;RN7SL263P;0.0
1554;AGO1;0.0
1026;IL6R;0.0
1553;MYC;0.0
1566;DIRC2;0.0
1626;C3orf70;0.0
1029;RIT1;0.0
1031;NUMA1;0.0
1032;PPP1R15A;0.0
1033;CRKL;0.0
1552;HAS3;0.0
1034;CYP2D6;0.0
1035;AHNAK;0.0
1037;RPS6KB2;0.0
1038;MTRR;0.0
1040;NR3C1;0.0
1041;SMARCC1;0.0
1551;BCL9;0.0
1042;ETV4;0.0
1043;IGHD6-13;0.0
1534;GH1;0.0
1065;FOXR2;0.0
1498;TRIM28;0.0
1087;CASC5;0.0
1090;DMC1;0.0
1512;PRSS8;0.0
1508;POLH;0.0
1560;TRAF5;0.0
1092;MAP3K6;0.0
1507;PIGA;0.0
1505;IRF1;0.0
1504;BCAS3;0.0
1503;TRIM24;0.0
1502;MECOM;0.0
1617;KB-67B5.12;0.0
1501;HIST1H1A;0.0
1097;MCM3;0.0
1098;BLNK;0.0
1500;NR0B1;0.0
1099;MUTYH;0.0
1616;LTB;0.0
1100;DDB2;0.0
1101;PPARD;0.0
1499;ACVR2A;0.0
1102;HLA-DQA1;0.0
1615;SLC25A13;0.0
1103;NPM3;0.0
1089;LPP;0.0
1086;LMO2;0.0
1622;CCT6B;0.0
1085;ERF;0.0
1531;HSPA2;0.0
1530;TRAJ46;0.0
1066;SMG1;0.0
1529;DDX3X;0.0
1528;SNCAIP;0.0
1527;CYP2C19;0.0
1526;RBL2;0.0
1524;ITGB3;0.0
1070;PRKCE;0.0
1071;RFC2;0.0
1072;TIGIT;0.0
1522;NT5E;0.0
1073;SYT1;0.0
1074;FGF8;0.0
1521;AIFM3;0.0
1520;HDAC7;0.0
1519;FRK;0.0
1077;TLL2;0.0
1078;NADK;0.0
1517;SLC9A3R1;0.0
1570;LRIG3;0.0
1021;RP11-149I2.5;0.0
1084;LAMB3;0.0
1381;IGHJ4;0.0
1196;RFC3;0.0
1481;DDX31;0.0
1417;RALGDS;0.0
1304;AFF2;0.0
1305;WRAP53;0.0
1306;GNAI3;0.0
1422;C3orf72;0.0
1421;ARID3B;0.0
1309;COPB1;0.0
1310;SIK2;0.0
1311;TEX12;0.0
1312;FKBP9;0.0
1420;TAF4B;0.0
1419;MT-TS2;0.0
1418;NFKB2;0.0
1316;JUN;0.0
1331;TXLNG2P;0.0
1317;GLMN;0.0
1416;TGFB1;0.0
1318;TOE1;0.0
1415;CCND3;0.0
1320;SAMHD1;0.0
1322;ACVR1;0.0
1323;TRAJ16;0.0
1414;WNK1;0.0
1326;LRRK2;0.0
1327;IL2RA;0.0
1328;LTK;0.0
1413;FIP1L1;0.0
1303;GRM3;0.0
1302;TUSC3;0.0
1301;RP1-1J6.2;0.0
1300;MSI2;0.0
1434;HIF1A-AS2;0.0
1270;TRAJ9;0.0
1271;TRGJP2;0.0
1275;POLR2A;0.0
1592;CASR;0.0
