target;split_set;roc_auc;accuracy;precision;recall
NF1_DEL;validation;0.7317628410410287;0.9875174544069732;0.49380051627099997;0.49995715509854327
Endometrial Cancer;test;0.944594607966706;0.9776085300837776;0.8928321648842164;0.7461562806452247;
Glioma;validation;0.9481502424883397;0.9622984809376719;0.9067135573171969;0.7472348007362809;
Glioma;test;0.9431109179319935;0.9594059405940594;0.8823004767633669;0.7436189775157898;
Head and Neck Cancer;validation;0.8210015672363292;0.9857402784242373;0.7299182465352846;0.5131782372347145;
Head and Neck Cancer;test;0.8482260618907245;0.9870525514089871;0.7245559197987345;0.5174814383980344;
Gastrointestinal Stromal Tumor;validation;0.976215992845493;0.996064824609656;0.9318206351911824;0.8336424454462847;
Gastrointestinal Stromal Tumor;test;0.9646034073453429;0.9961919268849961;0.9271150434725477;0.8268118977796397;
Leukemia;validation;0.9575065809237223;0.9827360047391359;0.8621438370656763;0.6731664939620733;
Leukemia;test;0.9596472587669955;0.9836252856054837;0.8665151515151515;0.6922919907551747;
Melanoma;validation;0.9531347873348498;0.973850124825456;0.8932364244769;0.7588419197226605;
Melanoma;test;0.9552067929605798;0.9742574257425742;0.8728414934048736;0.7524727713569086;
Mesothelioma;validation;0.9385375129724145;0.99428764862692;0.8843851395863117;0.5787983117369251;
Mesothelioma;test;0.8622939875257365;0.995049504950495;0.8548174530562453;0.5702693841277237;
Nerve Sheath Tumor;validation;0.856059113098244;0.9973765497397706;0.7487303736933429;0.5160866072442764;
Nerve Sheath Tumor;test;0.8415721564760026;0.998019801980198;0.7490478366849482;0.519192612942613;
Non-Small Cell Lung Cancer;validation;0.8974079813165043;0.9062751237676131;0.8529765685723594;0.7288112722744119;
Non-Small Cell Lung Cancer;test;0.8967345716136195;0.9042650418888043;0.8589776201540907;0.7206680236861585;
Pancreatic Cancer;validation;0.9427446341286433;0.9623407946515465;0.8205372444992567;0.7092433162748918;
Pancreatic Cancer;test;0.9308717926359247;0.9642802741812643;0.8381047858934481;0.7250833745836909;
Peripheral Nervous System;validation;0.9723407845250341;0.9966572166039013;0.7292450986777829;0.5383129500514344;
Peripheral Nervous System;test;0.9777981573472594;0.9968773800456969;0.8485518292682926;0.5776631426994439;
Renal Cell Carcinoma;validation;0.9324718346550309;0.990098590953328;0.9076001748726144;0.740540817052774;
Renal Cell Carcinoma;test;0.9224533571383979;0.9896420411271897;0.9246117843309156;0.7047723397709436;
Salivary Gland Cancer;validation;0.8354754439289713;0.9943722760546693;0.7472070585248192;0.5037381219004959;
Salivary Gland Cancer;test;0.8168196039808169;0.9938309215536938;0.7469530773918343;0.5061345223937505;
Skin Cancer, Non-Melanoma;validation;0.8591962329356092;0.9913256886556933;0.6960386391560395;0.5297666964162796;
Skin Cancer, Non-Melanoma;test;0.8706379295868345;0.9918507235338918;0.7461128048780488;0.523172517924793;
Small Bowel Cancer;validation;0.794674073714585;0.996445648034528;0.498222824017264;0.5;
Small Bowel Cancer;test;0.787808449001709;0.9966488956587967;0.49832444782939833;0.5;
UNKNOWN;validation;0.791665568303082;0.996318706892904;0.498159353446452;0.5;
